dms_orig,dms_dest,sctg2_t,mode_t,tht_22,o1_t,o2_t,d1_t,d2_t,,,
061-Los Angeles CA,011-Birmingham AL,01-Live animals/fish,1-Truck,0.003,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,03-Other ag prods.,1-Truck,0.0298,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,04-Animal feed,1-Truck,0,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,05-Meat/seafood,1-Truck,1.0214,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,06-Milled grain prods.,1-Truck,0.0256,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,07-Other foodstuffs,1-Truck,0.123,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,08-Alcoholic beverages,1-Truck,0,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,12-Gravel,1-Truck,4.4844,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,13-Nonmetallic minerals,1-Truck,0,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,19-Natural gas and other fossil products,1-Truck,0,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,20-Basic chemicals,1-Truck,0.3183,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,21-Pharmaceuticals,1-Truck,1.0335,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,22-Fertilizers,1-Truck,0.0027,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,23-Chemical prods.,1-Truck,23.6264,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,24-Plastics/rubber,1-Truck,8.0595,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,26-Wood prods.,1-Truck,0.2315,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,27-Newsprint/paper,1-Truck,0.0139,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,28-Paper articles,1-Truck,0.0156,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,29-Printed prods.,1-Truck,0.3691,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,30-Textiles/leather,1-Truck,8.377,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,31-Nonmetal min. prods.,1-Truck,3.0918,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,32-Base metals,1-Truck,0.2426,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,33-Articles-base metal,1-Truck,2.5136,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,34-Machinery,1-Truck,3.6921,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,35-Electronics,1-Truck,5.2886,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,36-Motorized vehicles,1-Truck,3.9669,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,37-Transport equip.,1-Truck,0.1976,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,38-Precision instruments,1-Truck,0.9986,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,39-Furniture,1-Truck,2.1701,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,40-Misc. mfg. prods.,1-Truck,3.4387,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,41-Waste/scrap,1-Truck,12.9216,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,011-Birmingham AL,43-Mixed freight,1-Truck,0.2875,61,Los Angeles CA,11,Birmingham AL,,,
061-Los Angeles CA,012-Mobile AL,01-Live animals/fish,1-Truck,0,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,04-Animal feed,1-Truck,0,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,05-Meat/seafood,1-Truck,0,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,07-Other foodstuffs,1-Truck,0.0002,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,08-Alcoholic beverages,1-Truck,0,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,13-Nonmetallic minerals,1-Truck,0,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,18-Fuel oils,1-Truck,0,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,20-Basic chemicals,1-Truck,1.9965,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,21-Pharmaceuticals,1-Truck,0.7905,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,22-Fertilizers,1-Truck,0,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,23-Chemical prods.,1-Truck,0.8654,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,24-Plastics/rubber,1-Truck,1.5258,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,26-Wood prods.,1-Truck,0.0763,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,27-Newsprint/paper,1-Truck,8.9993,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,28-Paper articles,1-Truck,0.0029,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,29-Printed prods.,1-Truck,0.0264,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,30-Textiles/leather,1-Truck,3.588,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,31-Nonmetal min. prods.,1-Truck,2.072,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,32-Base metals,1-Truck,0.7299,61,Los Angeles CA,12,Mobile AL,,,
